"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"133","HCE_disc",-1749.70207546167,-1787.57001551276,-1711.83413541058,614.695286427252,-2954.50483685908,-544.899314064256,2,"pir_cat"
"134","Prod_cost",-77.3066185578514,-179.077120458679,24.4638833429765,340.167031257486,-744.033999822523,589.42076270682,2,"pir_cat"
"135","Food_cost",6231.58863493847,6017.58540157364,6445.5918683033,368.959150711019,5508.42869954487,6954.74857033207,2,"pir_cat"
"136","Food_cost_disc",4829.25379428881,4669.95073702186,4988.55685155576,270.514263658732,4299.0458375177,5359.46175105993,2,"pir_cat"
"137","Prod_cost_disc",-49.672822172514,-112.231555508274,12.8859111632457,224.559530524252,-489.809502000048,390.46385765502,2,"pir_cat"
"138","Admin_costs",910.356350763716,880.944717503438,939.767984023994,49.4686122192864,813.397870813915,1007.31483071352,2,"pir_cat"
"139","Total_cost_health",3989.90806959086,3839.06131911472,4140.754820067,730.495801395002,2558.13629885665,5421.67984032506,2,"pir_cat"
"140","Total_cost_societ",3940.23524741834,3726.82976360644,4153.64073123024,934.380111277574,2108.8502293143,5771.62026552239,2,"pir_cat"
"141","SEQN",0,0,0,0,0,0,3,"pir_cat"
"142","Incident First CVD",-0.0112773978795733,-0.0197841022552906,-0.00277069350385604,0.0147153613878214,-0.0401195061997033,0.0175647104405566,3,"pir_cat"
"143","Incident Recurrent CVD",-0.00461471362626321,-0.00575108035301118,-0.00347834689951524,0.00662265448299541,-0.0175951164129342,0.0083656891604078,3,"pir_cat"
"144","Incident CVD",-0.0158921115058365,-0.0255351826083018,-0.00624904040337127,0.0176614163196509,-0.0505084874923522,0.0187242644806792,3,"pir_cat"
"145","Life Years",-0.0621221634328338,-0.0799298516901321,-0.0443144751755354,0.0574219883167664,-0.174669260533696,0.0504249336680283,3,"pir_cat"
"146","effect_disc",-0.0307447807462036,-0.044288839707678,-0.0172007217847293,0.0337018502076711,-0.0968004071532389,0.0353108456608317,3,"pir_cat"
"147","HCE_disc",-2808.02972510453,-3055.27552234685,-2560.78392786221,902.350823086816,-4576.63733835469,-1039.42211185437,3,"pir_cat"
